material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot,1.6,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,steel,1600.95,7953.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-05,copper,1600.95,7953.85,about average
500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon,614.28,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-05,copper,1600.95,7953.85,low price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),dkhardware,6.45,https://www.dkhardware.com/23212-3-4-in-electrical-metallic-tube-emt-set-screw-connector-product-3241496.html,Saturday,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",33009,southeast,2022-11-05,steel,1600.95,7953.85,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,8.54,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-05,steel,1600.95,7953.85,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,steel,1600.95,7953.85,low price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),amazon,20.0,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-05,steel,1600.95,7953.85,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,dkhardware,200.02,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,Friday,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",33009,southeast,2022-10-21,copper,1580.45,7543.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149.0,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,copper,1580.45,7543.0,high price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,lowes,158.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,copper,1580.45,7543.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,20.62,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),supplyworks,3.66,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,Friday,"6260 Abbott Dr. Omaha, Nebraska, 68110",68110,central,2022-10-21,steel,1580.45,7543.0,high price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),amazon,5.99,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-21,steel,1580.45,7543.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-21,copper,1580.45,7543.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,113.98,https://www.ebay.com/itm/363478081520,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-21,copper,1580.45,7543.0,about average
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,about average
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),lowes,3.48,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,steel,1580.45,7543.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,171.49,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-21,copper,1580.45,7543.0,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,lowes,5.99,https://www.lowes.com/pd/Common-1-2-in-Actual-50-In-Metallic-Emt-10-ft-Conduit/3129551,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,steel,1580.45,7543.0,about average
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,qcsupply,339.09,https://www.qcsupply.com/12-3-romex-simpull-wire-250ft.html,Friday,"574 Road 11. Schuyler, Nebraska, 68661",68661,central,2022-10-21,copper,1580.45,7543.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,lowes,149.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,copper,1580.45,7543.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,high price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,158.0,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,copper,1580.45,7543.0,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,copper,1580.45,7543.0,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,2.98,https://www.homedepot.com/p/Halex-3-4-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,low price
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,homedepot,1.15,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,high price
