material_description,vendor,material_price,link,formatted_datetime,dow,vendor_id,location,product_id
500 ft. 4 Gauge Black Stranded Copper THHN Wire,homedepot,765,https://www.homedepot.com/p/Southwire-500-ft-4-Black-Stranded-CU-SIMpull-THHN-Wire-20499001/202316585,11/9/2022,Wednesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316275
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,2.98,https://www.homedepot.com/p/Halex-3-4-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,10/24/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202241090
500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon,613.64,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/30/2022,Sunday,6,"410 Terry Ave N. Seattle, WA, 98109",202316275
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,wilmar,17.55,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,10/24/2022,Monday,19,"28 Biopolis Road. Singapore, 138568",100137321
500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon,613.64,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/29/2022,Saturday,6,"410 Terry Ave N. Seattle, WA, 98109",202316275
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,homedepot,118,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,10/25/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304774
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,lowes,158,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,10/21/2022,Friday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304649
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,10/20/2022,Thursday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304774
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,20.62,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/21/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100137321
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,lowes,289,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,10/25/2022,Tuesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202019377
